temperature_c,humidity_pct,yield_kg
36.21,49.67,69.07
22.16,82.97,62.25
24.45,79.91,67.53
26.1,78.74,70.62
20.47,45.62,64.82
37.29,88.18,49.03
32.83,56.98,82.51
30.72,86.66,61.57
39.41,44.82,59.65
25.31,40.96,69.76
34.57,52.25,73.62
30.23,56.19,84.86
25.09,73.98,72.19
38.51,64.61,69.81
34.84,71.88,68.45
21.4,71.53,69.06
26.28,81.64,70.31
26.01,52.01,80.86
28.05,51.26,82.55
28.41,86.72,67.92
38.06,68.85,65.13
30.96,35.02,63.34
28.6,66.9,85.33
29.3,59.32,87.9
29.46,84.56,68.45
23.39,39.66,65.46
32.66,53.44,78.98
35.02,72.0,67.46
23.98,36.34,62.45
29.5,81.74,68.03
28.29,69.64,81.58
33.93,62.19,78.33
33.12,35.3,61.56
35.4,40.86,61.15
23.52,87.69,59.09
21.0,48.71,70.63
29.13,79.08,73.46
39.76,67.75,65.66
37.83,68.7,67.35
30.1,80.68,69.8
37.94,75.9,59.7
25.18,48.6,77.21
35.32,63.67,76.03
25.49,39.26,67.96
25.43,52.58,80.86
22.77,47.72,72.31
34.13,38.53,61.27
30.85,57.87,83.78
28.4,84.77,69.32
33.91,82.12,62.52
27.61,35.32,68.49
35.07,81.94,61.34
28.38,76.11,77.0
32.07,47.13,71.97
28.72,36.6,68.99
33.58,57.24,78.13
29.35,42.02,73.88
20.54,56.67,75.83
20.54,70.35,67.8
29.23,37.77,69.3
24.23,52.98,79.94
27.58,76.36,77.85
25.05,39.5,66.32
30.79,89.99,59.39
33.0,77.97,67.43
35.08,87.23,53.55
20.41,43.38,61.88
33.39,66.02,75.75
33.99,77.18,64.43
32.14,76.14,68.48
36.39,88.06,50.08
20.51,52.16,72.17
39.16,56.82,69.91
21.52,72.98,69.16
22.04,77.49,66.93
32.01,41.66,70.21
35.65,54.1,72.63
27.41,62.83,87.76
36.99,80.23,56.03
39.22,69.96,64.15
34.15,58.95,80.92
39.31,49.85,63.74
30.76,61.59,85.34
34.62,49.76,72.27
36.61,39.77,59.82
24.88,60.56,86.32
27.58,36.58,71.57
23.64,46.67,73.35
26.81,83.42,69.58
25.53,35.56,67.35
21.71,74.6,67.49
35.16,72.98,68.01
29.82,78.61,70.35
24.43,73.05,73.05
31.63,61.03,84.66
28.51,76.03,75.98
34.06,49.9,71.01
22.41,45.59,67.45
30.72,76.92,70.62
24.33,61.63,84.83
39.53,63.86,66.9
22.01,45.68,67.24
23.59,35.78,62.4
25.49,88.59,61.96
33.95,41.95,66.52
29.82,83.0,68.32
29.39,59.23,87.54
21.03,86.76,55.28
36.44,57.04,72.44
32.59,37.95,62.49
31.26,51.71,80.65
22.37,77.04,66.96
35.81,47.41,66.7
29.01,59.35,91.04
39.8,51.8,63.86
32.19,75.7,72.12
24.16,46.61,73.68
23.14,44.56,67.66
20.05,59.78,77.87
25.83,47.73,77.88
34.06,59.97,81.81
38.48,78.33,57.14
33.22,86.35,58.59
30.89,70.62,78.87
36.53,38.93,56.35
26.15,76.19,74.38
25.77,41.84,72.4
33.99,86.85,57.05
29.88,39.42,68.25
28.64,52.73,83.31
21.83,87.91,57.12
31.5,87.29,63.14
33.45,49.82,71.19
35.13,60.88,78.98
38.32,44.98,60.25
32.7,62.04,80.07
26.96,53.33,84.81
37.15,53.14,70.13
25.76,86.99,64.93
31.0,60.02,85.84
